Variable,grid08,grid09,grid10,grid11,grid19,grid20,grid21,grid22,grid30,grid31,grid32,grid33,grid34,grid42,grid43,grid44,grid52,grid53,grid54,grid55
VRYieldVOl,92.95571,95.87714,87.180466,82.427005,102.30283,103.56348,101.688034,91.305355,88.08934,77.5179575,71.69247,66.8868975,82.78586,73.561515,74.89798,80.33934,74.02745,77.87397,86.2513,88.43731
GridId*,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
row,61,67,76,84,60,67,76,83.5,61,68,76,83.5,60.5,67.5,76,83.5,60,67,76,83
col,18,17,15,14,35,35,36,36,61,61,60,60.5,84.5,84.5,84.5,84.5,107,106,107,107
Relative_Elevation1,-2.040260553,-1.78537488,-1.117481709,-0.945052534,-1.007740855,-0.587651044,-0.470682263,-0.5438447,0.223024368,0.545170069,0.710372746,0.780142128,0.663171977,0.830734551,0.742380977,0.677479566,0.975876689,0.817755103,0.553429723,0.565377414
Slope1,0.016537428,0.016806008,0.0104392,0.006056054,0.006415657,0.004992907,0.003689654,0.003821692,0.009634701,0.004975901,0.005195935,0.004137187,0.007740999,0.004868978,0.005192178,0.003359945,0.009186602,0.00534386,0.004972902,0.003140546
TRI1,0.995106101,0.974737763,0.698133945,0.413466648,0.327424318,0.233320303,0.171127036,0.180783697,0.480592459,0.267246023,0.247552,0.193680905,0.355177298,0.249416747,0.213768676,0.146565378,0.396243304,0.237519704,0.208891913,0.162247732
TPI1,-0.390765876,-0.298465669,0.32542491,0.469383046,-0.417223826,0.293189258,-0.009729284,-0.545768082,-0.482230812,0.300551102,0.386151299,0.363225058,-0.27999349,0.404603005,-0.162309714,-0.243099481,0.603442192,0.250410602,-0.525689334,0.041936152
Elevation1,52.04947281,52.40380478,53.33228302,53.57198715,53.48484039,54.0688324,54.23143768,54.12973022,55.19580078,55.6436348,55.87329293,55.97028351,55.80767632,56.04061508,55.91778946,55.82756615,56.24238586,56.02257156,55.65511703,55.67172623
Application_7_N_rate,0.23619524,0.238341923,0.236888008,0.238348341,0.24013155,0.23723011,0.238235035,0.238987646,0.238936329,0.237148857,0.237828789,0.237751808,0.238418904,0.238373995,0.236793919,0.23786726,0.240167904,0.236744748,0.236109715,0.23642189
Application_10_N_rate,80.50390549,79.43590565,79.84001369,78.07926235,80.43174334,79.82558126,80.09979744,79.82558127,80.38844604,79.60909481,80.07093258,79.69568939,80.41731091,79.19055433,80.07093258,79.56579752,80.56163521,78.65655956,79.55136509,79.55136509
ph_mean_30_60,7.53841877,7.546619415,7.560058117,7.558682442,7.552457809,7.599045277,7.647308826,7.647308826,7.62919569,7.642047405,7.642047405,7.643660069,7.594124317,7.585988045,7.603350639,7.621211529,7.635457039,7.62402153,7.611177444,7.60956955
clay_mean_30_60,41.67388916,42.33131409,41.57880783,41.71894836,43.01467514,43.76455688,44.4357605,44.4357605,44.34785843,44.38736725,44.38736725,44.44426346,43.93819618,43.86813736,44.29997253,44.42897034,44.93524933,44.68032455,44.25377274,43.90103149
silt_mean_30_60,23.73578644,24.33242607,24.21536636,24.22078514,24.67265701,24.95284271,25.58584785,25.58584785,25.59717751,25.6437397,25.66379166,25.64148712,25.48446274,25.48446274,25.39453888,25.58905792,25.9268589,25.89314651,25.34409714,25.28363991
sand_mean_30_60,31.16685295,29.74161339,30.42845345,30.69168854,28.90426254,27.95044327,26.67055702,26.67055702,26.7925415,26.66191101,26.66191101,26.59186935,27.2918396,27.37181664,27.0190258,26.6450901,25.78333282,26.12323952,27.13766098,27.53790283
ksat_mean_30_60,0.621996701,0.673859656,0.914994657,0.784941852,0.539286017,0.499904335,0.385554403,0.385554403,0.336715698,0.31162855,0.286182672,0.29135865,0.337906852,0.336715698,0.314392865,0.310240269,0.264855653,0.264855653,0.34956497,0.43573156
om_mean_30_60,1.158501387,1.203063607,1.20460844,1.195673585,1.213423491,1.215377569,1.246913791,1.246913791,1.221280336,1.227722883,1.243613124,1.21445322,1.217423082,1.218272567,1.205240846,1.213149548,1.231716871,1.224671841,1.192713618,1.184557796
